name,type,value,date
上海市,,108.31,2006年
江苏省,,1550.78,2006年
浙江省,,1003,2006年
安徽省,,1202.9,2006年
福建省,,1242.44,2006年
江西省,,1344.13,2006年
山东省,,2508.52,2006年
河南省,,3953.3,2006年
湖北省,,2130.77,2006年
湖南省,,3452.45,2006年
广东省,,2002.72,2006年
广西壮族自治区,,2259.86,2006年
海南省,,305.42,2006年
重庆市,,1377.38,2006年
四川省,,5095.3,2006年
贵州省,,1562.07,2006年
云南省,,2365.01,2006年
西藏自治区,,27.95,2006年
陕西省,,804.53,2006年
甘肃省,,590,2006年
青海省,,89.01,2006年
宁夏回族自治区,,83.84,2006年
北京市,,218.78,2005年
天津市,,255.45,2005年
河北省,,3064.39,2005年
山西省,,463.28,2005年
内蒙古自治区,,738.65,2005年
辽宁省,,1453.55,2005年
吉林省,,615.19,2005年
黑龙江省,,1316.83,2005年
上海市,,156,2005年
江苏省,,1927.2,2005年
浙江省,,1213.15,2005年
安徽省,,2034.04,2005年
福建省,,1330.11,2005年
江西省,,1566.68,2005年
山东省,,3238.69,2005年
河南省,,4439,2005年
湖北省,,2340.3,2005年
湖南省,,4435.01,2005年
广东省,,2143.5,2005年
广西壮族自治区,,3015.04,2005年
海南省,,393.54,2005年
重庆市,,1756.28,2005年
四川省,,5744.77,2005年
贵州省,,1972.87,2005年
云南省,,2601.71,2005年
西藏自治区,,30.24,2005年
陕西省,,764.1,2005年
甘肃省,,650.15,2005年
青海省,,105.12,2005年
宁夏回族自治区,,122.71,2005年
北京市,,243.24,2004年
天津市,,252.42,2004年
河北省,,2945.91,2004年
山西省,,452.73,2004年
内蒙古自治区,,711.22,2004年
辽宁省,,1364.84,2004年
吉林省,,568.04,2004年
黑龙江省,,1217.28,2004年
上海市,,50.75,2004年
江苏省,,1910.78,2004年
浙江省,,1125.27,2004年
安徽省,,1968.96,2004年
福建省,,1241.81,2004年
江西省,,1441.45,2004年
山东省,,3058.19,2004年
河南省,,4232,2004年
湖北省,,2190.04,2004年
湖南省,,4343.43,2004年
广东省,,1989.05,2004年
广西壮族自治区,,2670.99,2004年
海南省,,370.21,2004年
重庆市,,1720.16,2004年
四川省,,5627.31,2004年
贵州省,,2033.14,2004年
云南省,,2605.49,2004年
西藏自治区,,26.17,2004年
陕西省,,756.6,2004年
甘肃省,,641.01,2004年
青海省,,106.28,2004年
宁夏回族自治区,,117.63,2004年
北京市,,248.5,2003年
天津市,,245.09,2003年
河北省,,2763.41,2003年
山西省,,462.53,2003年
内蒙古自治区,,647.73,2003年
辽宁省,,1275.42,2003年
吉林省,,523.89,2003年
黑龙江省,,1046.22,2003年
上海市,,195,2003年
江苏省,,1992.96,2003年
浙江省,,1132.38,2003年
安徽省,,2019.31,2003年
福建省,,1180.81,2003年
江西省,,1301.18,2003年
山东省,,2975.21,2003年
河南省,,3914,2003年
湖北省,,2123.34,2003年
湖南省,,4108.7,2003年
广东省,,1961.05,2003年
广西壮族自治区,,2637.67,2003年
海南省,,346.56,2003年
重庆市,,1719.56,2003年
四川省,,5564.87,2003年
贵州省,,1867.47,2003年
云南省,,2554.13,2003年
西藏自治区,,25.22,2003年
陕西省,,722.1,2003年
甘肃省,,630.15,2003年
青海省,,101,2003年
宁夏回族自治区,,125.05,2003年
北京市,,277.8,2002年
天津市,,269.9,2002年
河北省,,2614.3,2002年
山西省,,472.7,2002年
内蒙古自治区,,681.8,2002年
辽宁省,,1281.8,2002年
吉林省,,474.5,2002年
黑龙江省,,1010.8,2002年
上海市,,216.1,2002年
江苏省,,2011.7,2002年
浙江省,,1139.2,2002年
安徽省,,1995.4,2002年
福建省,,1132.9,2002年
江西省,,1369.9,2002年
山东省,,2883,2002年
河南省,,3800,2002年
湖北省,,2107.6,2002年
湖南省,,3908.5,2002年
广东省,,2062.3,2002年
广西壮族自治区,,3029.3,2002年
海南省,,309.1,2002年
重庆市,,1690.6,2002年
四川省,,5376.2,2002年
贵州省,,1869.1,2002年
云南省,,2486.9,2002年
西藏自治区,,23.7,2002年
陕西省,,735.2,2002年
甘肃省,,625.1,2002年
青海省,,104.8,2002年
宁夏回族自治区,,126.2,2002年
北京市,,248.2,2001年
天津市,,182.9,2001年
河北省,,2592.5,2001年
山西省,,475.5,2001年
内蒙古自治区,,765.4,2001年
辽宁省,,1291.8,2001年
吉林省,,889.6,2001年
黑龙江省,,971.2,2001年
上海市,,239.5,2001年
江苏省,,2028.5,2001年
浙江省,,1146.9,2001年
安徽省,,1910.6,2001年
福建省,,1119.9,2001年
江西省,,1481.4,2001年
山东省,,2769.4,2001年
河南省,,3672.1,2001年
湖北省,,1885.8,2001年
湖南省,,3604.3,2001年
广东省,,2138.8,2001年
广西壮族自治区,,3154.6,2001年
海南省,,301,2001年
重庆市,,1636.4,2001年
四川省,,5270.8,2001年
贵州省,,1787.7,2001年
云南省,,2518.6,2001年
西藏自治区,,23.9,2001年
陕西省,,674,2001年
甘肃省,,596,2001年
青海省,,103.3,2001年
宁夏回族自治区,,110.6,2001年
北京市,,250.1,2000年
天津市,,164.8,2000年
河北省,,2415.8,2000年
山西省,,468.4,2000年
内蒙古自治区,,801.3,2000年
辽宁省,,1300.2,2000年
吉林省,,646,2000年
黑龙江省,,992.6,2000年
上海市,,230,2000年
江苏省,,2015,2000年
浙江省,,1043,2000年
安徽省,,1858.4,2000年
福建省,,1108.6,2000年
江西省,,1755,2000年
山东省,,2660.3,2000年
河南省,,3587.7,2000年
湖北省,,1900.4,2000年
湖南省,,3583.8,2000年
广东省,,2034.8,2000年
广西壮族自治区,,3171.8,2000年
海南省,,344,2000年
重庆市,,1610,2000年
四川省,,4781.1,2000年
贵州省,,1802.7,2000年
云南省,,2587.1,2000年
西藏自治区,,23.5,2000年
陕西省,,639.9,2000年
甘肃省,,548.2,2000年
青海省,,104,2000年
宁夏回族自治区,,120.3,2000年
北京市,,248.3,1999年
天津市,,126.96,1999年
河北省,,2372.77,1999年
山西省,,502.22,1999年
内蒙古自治区,,777.55,1999年
辽宁省,,1123.39,1999年
吉林省,,877.59,1999年
黑龙江省,,1014.38,1999年
上海市,,240.63,1999年
江苏省,,1917.55,1999年
浙江省,,1024.36,1999年
安徽省,,1773.31,1999年
福建省,,1049.55,1999年
江西省,,1554.28,1999年
山东省,,2560.48,1999年
河南省,,3556.43,1999年
湖北省,,2121.03,1999年
湖南省,,3422.36,1999年
广东省,,2019.05,1999年
广西壮族自治区,,2309.55,1999年
海南省,,282.64,1999年
重庆市,,1512.18,1999年
四川省,,4732.8,1999年
贵州省,,1641.03,1999年
云南省,,2459.4,1999年
西藏自治区,,22.26,1999年
陕西省,,793.18,1999年
甘肃省,,565,1999年
青海省,,109.16,1999年
宁夏回族自治区,,122.1,1999年
北京市,,254.5,1998年
天津市,,127.23,1998年
河北省,,2332.66,1998年
山西省,,510.56,1998年
内蒙古自治区,,816.06,1998年
辽宁省,,1039.9,1998年
吉林省,,855.04,1998年
黑龙江省,,958.07,1998年
上海市,,242.78,1998年
江苏省,,1961.86,1998年
浙江省,,1040.56,1998年
安徽省,,1809.12,1998年
福建省,,1024.15,1998年
江西省,,1799.63,1998年
山东省,,2485.9,1998年
河南省,,3439.7,1998年
湖北省,,1843.86,1998年
湖南省,,3492.24,1998年
广东省,,1768.66,1998年
广西壮族自治区,,2085.21,1998年
海南省,,256.51,1998年
重庆市,,1492.95,1998年
四川省,,4793.88,1998年
贵州省,,1593.23,1998年
云南省,,2507.91,1998年
西藏自治区,,21.28,1998年
陕西省,,731.59,1998年
甘肃省,,567.05,1998年
青海省,,113.25,1998年
宁夏回族自治区,,121.12,1998年
北京市,,241,1997年
天津市,,101.7,1997年
河北省,,2194.4,1997年
山西省,,476.1,1997年
内蒙古自治区,,809.8,1997年
辽宁省,,953.3,1997年
吉林省,,818.19,1997年
黑龙江省,,932.2,1997年
上海市,,224.61,1997年
江苏省,,1829.8,1997年
浙江省,,1010.1,1997年
安徽省,,1529.4,1997年
福建省,,994.4,1997年
江西省,,1680,1997年
山东省,,2209.7,1997年
河南省,,2931.9,1997年
湖北省,,1839.4,1997年
湖南省,,3401.01,1997年
广东省,,1642.4,1997年
广西壮族自治区,,2122.1,1997年
海南省,,236.68,1997年
重庆市,,1475.3,1997年
四川省,,4802.09,1997年
贵州省,,1540.8,1997年
云南省,,2461.6,1997年
西藏自治区,,21.1,1997年
陕西省,,678.6,1997年
甘肃省,,521.86,1997年
青海省,,108.9,1997年
宁夏回族自治区,,100.6,1997年
